Child Entity CIK,Child Entity,Entity Type,Industry Group,Jurisdiction,Filing Date,Parent Entity Name,Clarification,Source File
0001534541,Blackstone Real Estate Partners VII.TE.3 L.P.,Limited Partnership,Pooled Investment Fund,DELAWARE,2011-11-14,Laurence Tosi,Of the GP of the Issuer,https://www.sec.gov/Archives/edgar/data/1534541/000153454111000001/primary_doc.xml
0001534541,Blackstone Real Estate Partners VII.TE.3 L.P.,Limited Partnership,Pooled Investment Fund,DELAWARE,2011-11-14,A.J. Agarwal,Of the GP of the Issuer,https://www.sec.gov/Archives/edgar/data/1534541/000153454111000001/primary_doc.xml
0001534541,Blackstone Real Estate Partners VII.TE.3 L.P.,Limited Partnership,Pooled Investment Fund,DELAWARE,2011-11-14,Frank Cohen,Of the GP of the Issuer,https://www.sec.gov/Archives/edgar/data/1534541/000153454111000001/primary_doc.xml
0001534541,Blackstone Real Estate Partners VII.TE.3 L.P.,Limited Partnership,Pooled Investment Fund,DELAWARE,2011-11-14,Jonathan Gray,Of the GP of the Issuer,https://www.sec.gov/Archives/edgar/data/1534541/000153454111000001/primary_doc.xml
0001534541,Blackstone Real Estate Partners VII.TE.3 L.P.,Limited Partnership,Pooled Investment Fund,DELAWARE,2011-11-14,Robert Friedman,Of the GP of the Issuer,https://www.sec.gov/Archives/edgar/data/1534541/000153454111000001/primary_doc.xml
0001534541,Blackstone Real Estate Partners VII.TE.3 L.P.,Limited Partnership,Pooled Investment Fund,DELAWARE,2011-11-14,Michael Nash,Of the GP of the Issuer,https://www.sec.gov/Archives/edgar/data/1534541/000153454111000001/primary_doc.xml
0001534541,Blackstone Real Estate Partners VII.TE.3 L.P.,Limited Partnership,Pooled Investment Fund,DELAWARE,2011-11-14,William Stein,Of the GP of the Issuer,https://www.sec.gov/Archives/edgar/data/1534541/000153454111000001/primary_doc.xml
0001534541,Blackstone Real Estate Partners VII.TE.3 L.P.,Limited Partnership,Pooled Investment Fund,DELAWARE,2011-11-14,Gary Sumers,Of the GP of the Issuer,https://www.sec.gov/Archives/edgar/data/1534541/000153454111000001/primary_doc.xml
0001534541,Blackstone Real Estate Partners VII.TE.3 L.P.,Limited Partnership,Pooled Investment Fund,DELAWARE,2011-11-14,Kathleen Skero,Of the GP of the Issuer,https://www.sec.gov/Archives/edgar/data/1534541/000153454111000001/primary_doc.xml
0001534541,Blackstone Real Estate Partners VII.TE.3 L.P.,Limited Partnership,Pooled Investment Fund,DELAWARE,2011-11-14,Dennis McDonagh,Of the GP of the Issuer,https://www.sec.gov/Archives/edgar/data/1534541/000153454111000001/primary_doc.xml
0001534541,Blackstone Real Estate Partners VII.TE.3 L.P.,Limited Partnership,Pooled Investment Fund,DELAWARE,2011-11-14,John Magliano,Of the GP of the Issuer,https://www.sec.gov/Archives/edgar/data/1534541/000153454111000001/primary_doc.xml
0001534541,Blackstone Real Estate Partners VII.TE.3 L.P.,Limited Partnership,Pooled Investment Fund,DELAWARE,2011-11-14,Anthony Beovich,Of the GP of the Issuer,https://www.sec.gov/Archives/edgar/data/1534541/000153454111000001/primary_doc.xml
0001534541,Blackstone Real Estate Partners VII.TE.3 L.P.,Limited Partnership,Pooled Investment Fund,DELAWARE,2011-11-14,Christopher James,Of the GP of the Issuer,https://www.sec.gov/Archives/edgar/data/1534541/000153454111000001/primary_doc.xml
0001534541,Blackstone Real Estate Partners VII.TE.3 L.P.,Limited Partnership,Pooled Investment Fund,DELAWARE,2011-11-14,Matthew Skurbe,Of the GP of the Issuer,https://www.sec.gov/Archives/edgar/data/1534541/000153454111000001/primary_doc.xml
0001544347,Blackstone Real Estate Partners VII.TE.4 L.P.,Limited Partnership,Pooled Investment Fund,DELAWARE,2012-03-12,Blackstone Real Estate Associates VII L.P.,"The General Partner of the Issuer (the ""GP"").",https://www.sec.gov/Archives/edgar/data/1544347/000154434712000001/primary_doc.xml
0001544347,Blackstone Real Estate Partners VII.TE.4 L.P.,Limited Partnership,Pooled Investment Fund,DELAWARE,2012-03-12,Stephen Schwarzman,Of the GP of the Issuer.,https://www.sec.gov/Archives/edgar/data/1544347/000154434712000001/primary_doc.xml
0001544347,Blackstone Real Estate Partners VII.TE.4 L.P.,Limited Partnership,Pooled Investment Fund,DELAWARE,2012-03-12,Hamilton James,Of the GP of the Issuer.,https://www.sec.gov/Archives/edgar/data/1544347/000154434712000001/primary_doc.xml
0001544347,Blackstone Real Estate Partners VII.TE.4 L.P.,Limited Partnership,Pooled Investment Fund,DELAWARE,2012-03-12,John Finley,Of the GP of the Issuer.,https://www.sec.gov/Archives/edgar/data/1544347/000154434712000001/primary_doc.xml
0001544347,Blackstone Real Estate Partners VII.TE.4 L.P.,Limited Partnership,Pooled Investment Fund,DELAWARE,2012-03-12,Laurence Tosi,Of the GP of the Issuer.,https://www.sec.gov/Archives/edgar/data/1544347/000154434712000001/primary_doc.xml
0001544347,Blackstone Real Estate Partners VII.TE.4 L.P.,Limited Partnership,Pooled Investment Fund,DELAWARE,2012-03-12,A.J. Agarwal,Of the GP of the Issuer.,https://www.sec.gov/Archives/edgar/data/1544347/000154434712000001/primary_doc.xml
0001544347,Blackstone Real Estate Partners VII.TE.4 L.P.,Limited Partnership,Pooled Investment Fund,DELAWARE,2012-03-12,Frank Cohen,Of the GP of the Issuer.,https://www.sec.gov/Archives/edgar/data/1544347/000154434712000001/primary_doc.xml
0001544347,Blackstone Real Estate Partners VII.TE.4 L.P.,Limited Partnership,Pooled Investment Fund,DELAWARE,2012-03-12,Jonathan Gray,Of the GP of the Issuer.,https://www.sec.gov/Archives/edgar/data/1544347/000154434712000001/primary_doc.xml
0001544347,Blackstone Real Estate Partners VII.TE.4 L.P.,Limited Partnership,Pooled Investment Fund,DELAWARE,2012-03-12,Robert Friedman,Of the GP of the Issuer.,https://www.sec.gov/Archives/edgar/data/1544347/000154434712000001/primary_doc.xml
0001544347,Blackstone Real Estate Partners VII.TE.4 L.P.,Limited Partnership,Pooled Investment Fund,DELAWARE,2012-03-12,Michael Nash,Of the GP of the Issuer.,https://www.sec.gov/Archives/edgar/data/1544347/000154434712000001/primary_doc.xml
